filename,optimal_objective,time
logs_pdlp_1e-06/relaxed_01.log,-242520.789097.,0.198
logs_pdlp_1e-06/relaxed_02.log,-373488.092501.,9.905
logs_pdlp_1e-06/relaxed_03.log,242.780465.,2.091
logs_pdlp_1e-06/relaxed_04.log,,
logs_pdlp_1e-06/relaxed_05.log,442.843400.,7.710
logs_pdlp_1e-06/relaxed_06.log,37925.039544.,2.222
logs_pdlp_1e-06/relaxed_07.log,,
logs_pdlp_1e-06/relaxed_08.log,38767.431227.,0.344
logs_pdlp_1e-06/relaxed_09.log,0.001976.,2.039
logs_pdlp_1e-06/relaxed_10.log,0.001977.,0.081
logs_pdlp_1e-06/relaxed_11.log,5.517532.,0.266
logs_pdlp_1e-06/relaxed_12.log,25.000000.,0.171
logs_pdlp_1e-06/relaxed_13.log,13.342817.,2.064
logs_pdlp_1e-06/relaxed_14.log,,
logs_pdlp_1e-06/relaxed_15.log,547290.526762.,6.013
logs_pdlp_1e-06/relaxed_16.log,0.999936.,0.093
logs_pdlp_1e-06/relaxed_17.log,1.000028.,0.359
logs_pdlp_1e-06/relaxed_18.log,0.999857.,0.041
logs_pdlp_1e-06/relaxed_19.log,3.999968.,0.192
logs_pdlp_1e-06/relaxed_20.log,4.000602.,1.731
logs_pdlp_1e-06/relaxed_21.log,6.999970.,0.367
logs_pdlp_1e-06/relaxed_22.log,0.000000.,0.065
logs_pdlp_1e-06/relaxed_23.log,0.000000.,0.135
logs_pdlp_1e-06/relaxed_24.log,0.000000.,0.152
logs_pdlp_1e-06/relaxed_25.log,-46.971161.,0.050
logs_pdlp_1e-06/relaxed_26.log,-117.781387.,0.059
logs_pdlp_1e-06/relaxed_27.log,-324.071710.,0.095
logs_pdlp_1e-06/relaxed_28.log,-0.000042.,0.059
logs_pdlp_1e-06/relaxed_29.log,-0.000255.,0.092
logs_pdlp_1e-06/relaxed_30.log,-0.004052.,0.260
logs_pdlp_1e-06/relaxed_31.log,-2522.046785.,0.473
logs_pdlp_1e-06/relaxed_32.log,-3504.660914.,2.058
logs_pdlp_1e-06/relaxed_33.log,-10679.260145.,12.325
logs_pdlp_1e-06/relaxed_34.log,0.000043.,0.194
logs_pdlp_1e-06/relaxed_35.log,0.000040.,0.181
logs_pdlp_1e-06/relaxed_36.log,0.000032.,0.145
logs_pdlp_1e-06/relaxed_37.log,0.000000.,0.042
logs_pdlp_1e-06/relaxed_38.log,0.000000.,0.065
logs_pdlp_1e-06/relaxed_39.log,426.047320.,0.772
logs_pdlp_1e-06/relaxed_40.log,434.526829.,0.850
logs_pdlp_1e-06/relaxed_41.log,502.880299.,8.792
logs_pdlp_1e-06/relaxed_42.log,24844380.256709.,17.023
logs_pdlp_1e-06/relaxed_43.log,,
logs_pdlp_1e-06/relaxed_44.log,,
logs_pdlp_1e-06/relaxed_45.log,-0.000000.,0.059
logs_pdlp_1e-06/relaxed_46.log,0.000000.,0.056
logs_pdlp_1e-06/relaxed_47.log,0.000000.,0.056
logs_pdlp_1e-06/relaxed_48.log,152133413.911231.,2.238
logs_pdlp_1e-06/relaxed_49.log,123705729.764205.,5.711
logs_pdlp_1e-06/relaxed_50.log,124654632.874670.,5.818
